# TypeScript no-regression baseline
# Format: <count>	<normalized diagnostic key>
# Key: <file> :: <TS code> :: <message> (line/column stripped)
1	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
3	components/messages/CollapsedReadSearchContent.tsx :: TS2339 :: Property 'type' does not exist on type 'unknown'.
7	components/messages/CollapsedReadSearchContent.tsx :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'number'.
1	components/messages/CollapsedReadSearchContent.tsx :: TS2363 :: The right-hand side of an arithmetic operation must be of type 'any', 'number', 'bigint' or an enum type.
10	components/messages/CollapsedReadSearchContent.tsx :: TS2365 :: Operator '>' cannot be applied to types 'unknown' and 'number'.
3	components/messages/CollapsedReadSearchContent.tsx :: TS2488 :: Type 'unknown' must have a '[Symbol.iterator]()' method that returns an iterator.
1	components/messages/GroupedToolUseContent.tsx :: TS2339 :: Property 'map' does not exist on type 'unknown'.
1	components/messages/GroupedToolUseContent.tsx :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
1	components/messages/GroupedToolUseContent.tsx :: TS2488 :: Type 'unknown' must have a '[Symbol.iterator]()' method that returns an iterator.
1	components/messages/nullRenderingAttachments.ts :: TS2322 :: Type '"pen_mode_enter"' is not assignable to type '"file" | "structured_output" | "output_style" | "directory" | "auto_mode" | "plan_file_reference" | "queued_command" | "diagnostics" | "hook_blocking_error" | "hook_error_during_execution" | ... 49 more ... | "bagel_console"'.
1	components/messages/nullRenderingAttachments.ts :: TS2322 :: Type 'Set<"structured_output" | "output_style" | "auto_mode" | "edited_text_file" | "edited_image_file" | "opened_file_in_ide" | "todo_reminder" | "task_reminder" | "plan_mode" | ... 24 more ... | "pen_mode_exit">' is not assignable to type 'ReadonlySet<"file" | "structured_output" | "output_style" | "directory" | "auto_mode" | "plan_file_reference" | "queued_command" | "diagnostics" | "hook_blocking_error" | "hook_error_during_execution" | ... 49 more ... | "bagel_console">'.
1	components/messages/nullRenderingAttachments.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	components/messages/nullRenderingAttachments.ts :: TS2820 :: Type '"pen_mode_exit"' is not assignable to type '"file" | "structured_output" | "output_style" | "directory" | "auto_mode" | "plan_file_reference" | "queued_command" | "diagnostics" | "hook_blocking_error" | "hook_error_during_execution" | ... 49 more ... | "bagel_console"'. Did you mean '"plan_mode_exit"'?
1	components/messages/SystemTextMessage.tsx :: TS2304 :: Cannot find name 'HOOK_TIMING_DISPLAY_THRESHOLD_MS'.
3	components/messages/teamMemCollapsed.tsx :: TS2365 :: Operator '>' cannot be applied to types 'unknown' and 'number'.
1	components/messages/teamMemSaved.ts :: TS2322 :: Type 'unknown' is not assignable to type 'number'.
1	components/MessageSelector.tsx :: TS2345 :: Argument of type '"from" | "up_to"' is not assignable to parameter of type 'PartialCompactDirection'.
1	components/MessageSelector.tsx :: TS2345 :: Argument of type 'MessageContentBlock' is not assignable to parameter of type 'ContentBlockParam'.
2	components/MessageSelector.tsx :: TS2345 :: Argument of type 'string' is not assignable to parameter of type '`${string}-${string}-${string}-${string}-${string}`'.
1	components/MessageSelector.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/ModelPicker.tsx :: TS2322 :: Type '("low" | "medium" | "high" | "max")[]' is not assignable to type 'EffortLevel[]'.
1	components/ModelPicker.tsx :: TS2345 :: Argument of type '"low" | "medium" | "high" | "max"' is not assignable to parameter of type 'EffortLevel'.
1	components/NativeAutoUpdater.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/NativeAutoUpdater.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"production"' and '"development"' have no overlap.
1	components/NativeAutoUpdater.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"production"' and '"test"' have no overlap.
1	components/Passes/Passes.tsx :: TS2305 :: Module '"../../services/oauth/types.js"' has no exported member 'ReferralRedemptionsResponse'.
1	components/Passes/Passes.tsx :: TS2305 :: Module '"../../services/oauth/types.js"' has no exported member 'ReferrerRewardInfo'.
1	components/Passes/Passes.tsx :: TS2339 :: Property 'isAvailable' does not exist on type 'unknown'.
2	components/permissions/AskUserQuestionPermissionRequest/AskUserQuestionPermissionRequest.tsx :: TS2345 :: Argument of type '{ id: any; type: string; content: any; mediaType: any; filename: any; dimensions: any; }' is not assignable to parameter of type 'PastedContent'.
1	components/permissions/BashPermissionRequest/bashToolUseOptions.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/permissions/ComputerUseApproval/ComputerUseApproval.tsx :: TS2344 :: Type '{}' does not satisfy the constraint 'string | number | symbol'.
1	components/permissions/ComputerUseApproval/ComputerUseApproval.tsx :: TS2538 :: Type 'unknown' cannot be used as an index type.
1	components/permissions/ExitPlanModePermissionRequest/ExitPlanModePermissionRequest.tsx :: TS2339 :: Property 'content' does not exist on type 'unknown'.
1	components/permissions/ExitPlanModePermissionRequest/ExitPlanModePermissionRequest.tsx :: TS2339 :: Property 'mediaType' does not exist on type 'unknown'.
1	components/permissions/ExitPlanModePermissionRequest/ExitPlanModePermissionRequest.tsx :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	components/permissions/ExitPlanModePermissionRequest/ExitPlanModePermissionRequest.tsx :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type '{ input_tokens: number; cache_creation_input_tokens?: number; cache_read_input_tokens?: number; }'.
1	components/permissions/FilePermissionDialog/useFilePermissionDialog.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	components/permissions/hooks.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	components/permissions/PermissionDecisionDebugInfo.tsx :: TS2488 :: Type 'unknown' must have a '[Symbol.iterator]()' method that returns an iterator.
1	components/permissions/PermissionDecisionDebugInfo.tsx :: TS2550 :: Property 'findLast' does not exist on type 'PermissionUpdate[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	components/permissions/PermissionRequest.tsx :: TS2367 :: This comparison appears to be unintentional because the types 'Tool<AnyObject>' and '{ name: string; isEnabled(): boolean; userFacingName(): string; }' have no overlap.
2	components/permissions/PermissionRequest.tsx :: TS2740 :: Type '{ name: string; isEnabled(): boolean; userFacingName(): string; }' is missing the following properties from type 'Tool': call, description, inputSchema, isConcurrencySafe, and 7 more.
1	components/permissions/PermissionRequest.tsx :: TS2740 :: Type 'typeof WorkflowTool' is missing the following properties from type 'Tool': description, inputSchema, isConcurrencySafe, isEnabled, and 8 more.
2	components/permissions/rules/PermissionRuleList.tsx :: TS2345 :: Argument of type '{ type: "addDirectories"; directories: any[]; destination: string; }' is not assignable to parameter of type 'PermissionUpdate'.
1	components/permissions/utils.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
2	components/PromptInput/PromptInput.tsx :: TS2339 :: Property 'color' does not exist on type 'unknown'.
1	components/PromptInput/PromptInput.tsx :: TS2339 :: Property 'error' does not exist on type 'DirectMessageResult'.
2	components/PromptInput/PromptInput.tsx :: TS2339 :: Property 'id' does not exist on type 'unknown'.
2	components/PromptInput/PromptInput.tsx :: TS2339 :: Property 'name' does not exist on type 'unknown'.
1	components/PromptInput/PromptInput.tsx :: TS2339 :: Property 'status' does not exist on type 'unknown'.
1	components/PromptInput/PromptInput.tsx :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	components/PromptInput/PromptInput.tsx :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'TaskState'.
7	components/PromptInput/PromptInput.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/PromptInput/PromptInput.tsx :: TS2488 :: Type 'unknown' must have a '[Symbol.iterator]()' method that returns an iterator.
2	components/PromptInput/PromptInputFooter.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/PromptInput/PromptInputFooterLeftSide.tsx :: TS2304 :: Cannot find name 'TungstenPill'.
1	components/PromptInput/PromptInputFooterLeftSide.tsx :: TS2339 :: Property 'name' does not exist on type 'unknown'.
2	components/PromptInput/PromptInputFooterLeftSide.tsx :: TS2339 :: Property 'status' does not exist on type 'unknown'.
3	components/PromptInput/PromptInputFooterLeftSide.tsx :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	components/PromptInput/PromptInputFooterLeftSide.tsx :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'TaskState'.
4	components/PromptInput/PromptInputFooterLeftSide.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/QuickOpenDialog.tsx :: TS2554 :: Expected 2 arguments, but got 1.
1	components/SentryErrorBoundary.ts :: TS2339 :: Property 'props' does not exist on type 'SentryErrorBoundary'.
2	components/SentryErrorBoundary.ts :: TS2339 :: Property 'state' does not exist on type 'SentryErrorBoundary'.
1	components/Settings/Config.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/Settings/Settings.tsx :: TS2304 :: Cannot find name 'Gates'.
1	components/skills/SkillsMenu.tsx :: TS2339 :: Property 'sort' does not exist on type 'unknown'.
3	components/Spinner.tsx :: TS2304 :: Cannot find name 'apiMetricsRef'.
1	components/Spinner.tsx :: TS2304 :: Cannot find name 'computeTtftText'.
1	components/Spinner.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/Spinner/TeammateSpinnerTree.tsx :: TS2322 :: Type '{ key: string; teammate: InProcessTeammateTaskState; isLast: boolean; isSelected: boolean; isForegrounded: boolean; allIdle: any; showPreview: any; }' is not assignable to type 'Props'.
2	components/Stats.tsx :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'number'.
3	components/Stats.tsx :: TS2365 :: Operator '+' cannot be applied to types 'number' and 'unknown'.
7	components/Stats.tsx :: TS2365 :: Operator '+' cannot be applied to types 'unknown' and 'unknown'.
2	components/Stats.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/StatusLine.tsx :: TS2322 :: Type '{ seven_day: { used_percentage: number; resets_at: number; }; five_hour: { used_percentage: number; resets_at: number; }; }' is not assignable to type 'StatusLineRateLimits'.
2	components/TaskListV2.tsx :: TS2339 :: Property 'color' does not exist on type 'unknown'.
1	components/TaskListV2.tsx :: TS2339 :: Property 'name' does not exist on type 'unknown'.
1	components/tasks/BackgroundTasksDialog.tsx :: TS2322 :: Type '{ session: RemoteAgentTaskState; onDone: (result?: string, options?: { display?: CommandResultDisplay; }) => void; toolUseContext: ToolUseContext; onBack: () => void; onKill: () => any; key: string; }' is not assignable to type 'Props'.
1	components/tasks/BackgroundTasksDialog.tsx :: TS2322 :: Type '{ task: MonitorMcpTaskState; onKill: () => void; onBack: () => void; key: string; }' is not assignable to type 'Props'.
1	components/tasks/BackgroundTasksDialog.tsx :: TS2322 :: Type '{ workflow: LocalWorkflowTaskState; onDone: (result?: string, options?: { display?: CommandResultDisplay; }) => void; onKill: () => any; onSkipAgent: (agentId: unknown) => any; onRetryAgent: (agentId_0: unknown) => any; onBack: () => void; key: string; }' is not assignable to type 'Props'.
1	components/tasks/BackgroundTasksDialog.tsx :: TS2339 :: Property 'description' does not exist on type 'MonitorMcpTaskState'.
1	components/tasks/BackgroundTasksDialog.tsx :: TS2339 :: Property 'retryWorkflowAgent' does not exist on type 'typeof import("/usr/local/develop/open-source/claude-code/tasks/LocalWorkflowTask/LocalWorkflowTask")'.
1	components/tasks/BackgroundTasksDialog.tsx :: TS2339 :: Property 'skipWorkflowAgent' does not exist on type 'typeof import("/usr/local/develop/open-source/claude-code/tasks/LocalWorkflowTask/LocalWorkflowTask")'.
5	components/tasks/BackgroundTasksDialog.tsx :: TS2339 :: Property 'status' does not exist on type 'unknown'.
1	components/tasks/BackgroundTasksDialog.tsx :: TS2339 :: Property 'summary' does not exist on type 'LocalWorkflowTaskState'.
1	components/tasks/BackgroundTasksDialog.tsx :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	components/tasks/BackgroundTasksDialog.tsx :: TS2551 :: Property 'killWorkflowTask' does not exist on type 'typeof import("/usr/local/develop/open-source/claude-code/tasks/LocalWorkflowTask/LocalWorkflowTask")'. Did you mean 'LocalWorkflowTask'?
1	components/tasks/BackgroundTasksDialog.tsx :: TS2554 :: Expected 2 arguments, but got 1.
1	components/tasks/taskStatusUtils.tsx :: TS2367 :: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
1	components/teams/TeamsDialog.tsx :: TS2554 :: Expected 2 arguments, but got 1.
1	components/ThemePicker.tsx :: TS2554 :: Expected 2 arguments, but got 1.
1	components/TokenWarning.tsx :: TS2339 :: Property 'collapsedSpans' does not exist on type 'CollapseStats'.
3	components/TokenWarning.tsx :: TS2339 :: Property 'health' does not exist on type 'CollapseStats'.
1	components/TokenWarning.tsx :: TS2339 :: Property 'stagedSpans' does not exist on type 'CollapseStats'.
